STATION_ID,ABBREVIATION,FUNCTION,YEAR,MONTH,DECADE,VALUE
RIAI99PA,HATMN,MIN,2011,7,0, 
RIAI99PA,HATMN,MIN,2011,8,0, 
RIAI99PA,HATMN,MIN,2011,9,0, 
RIAI99PA,HATMN,MIN,2011,10,0, 
RIAI99PA,HATMN,MIN,2011,11,0,-6.1
RIAI99PA,HATMN,MIN,2011,12,0,-4.2
RIAI99PA,HATMN,MIN,2012,1,0,-19.4
RIAI99PA,HATMN,MIN,2012,2,0,-30.1
RIAI99PA,HATMN,MIN,2012,3,0,-19.1
RIAI99PA,HATMN,MIN,2012,4,0,-8.9
RIAI99PA,HATMN,MIN,2012,5,0, 
RIAI99PA,HATMN,MIN,2012,6,0,-0.2
RIAI99PA,HATMN,MIN,2012,7,0,6.5
RIAI99PA,HATMN,MIN,2012,8,0,4.2
RIAI99PA,HATMN,MIN,2012,9,0,1.7
RIAI99PA,HATMN,MIN,2012,10,0,-5.5
RIAI99PA,HATMN,MIN,2012,11,0,-6.2
RIAI99PA,HATMN,MIN,2012,12,0, 
RIAI99PA,HATMN,MIN,2013,1,0,-25.1
RIAI99PA,HATMN,MIN,2013,2,0,-18.2
RIAI99PA,HATMN,MIN,2013,3,0,-23.7
RIAI99PA,HATMN,MIN,2013,4,0,-11.5
RIAI99PA,HATMN,MIN,2013,5,0, 
RIAI99PA,HATMN,MIN,2013,6,0,4.8
RIAI99PA,HATMN,MIN,2013,7,0,5.8
RIAI99PA,HATMN,MIN,2013,8,0,4.4
RIAI99PA,HATMN,MIN,2013,9,0,-3.2
RIAI99PA,HATMN,MIN,2013,10,0,-5.3
RIAI99PA,HATMN,MIN,2013,11,0,-8.9
RIAI99PA,HATMN,MIN,2013,12,0,-8.4
RIAI99PA,HATMN,MIN,2014,1,0,-20
RIAI99PA,HATMN,MIN,2014,2,0,-12.1
RIAI99PA,HATMN,MIN,2014,3,0,-8.7
RIAI99PA,HATMN,MIN,2014,4,0,-8.4
RIAI99PA,HATMN,MIN,2014,5,0,-3.5
RIAI99PA,HATMN,MIN,2014,6,0,2.1
RIAI99PA,HATMN,MIN,2014,7,0,7.2
RIAI99PA,HATMN,MIN,2014,8,0,4.8
RIAI99PA,HATMN,MIN,2014,9,0,1.9
RIAI99PA,HATMN,MIN,2014,10,0,-6.9
RIAI99PA,HATMN,MIN,2014,11,0,-11.9
RIAI99PA,HATMN,MIN,2014,12,0,-18.9
RIAI99PA,HATMN,MIN,2015,1,0,-13.2
RIAI99PA,HATMN,MIN,2015,2,0,-9.7
RIAI99PA,HATMN,MIN,2015,3,0,-7.4
RIAI99PA,HATMN,MIN,2015,4,0,-2.2
RIAI99PA,HATMN,MIN,2015,5,0,-3.6
RIAI99PA,HATMN,MIN,2015,6,0,0.9
RIAI99PA,HATMN,MIN,2015,7,0,6.2
RIAI99PA,HATMN,MIN,2015,8,0,4.4
RIAI99PA,HATMN,MIN,2015,9,0,0.8
RIAI99PA,HATMN,MIN,2015,10,0,-6.5
RIAI99PA,HATMN,MIN,2015,11,0,-3.5
RIAI99PA,HATMN,MIN,2015,12,0,-11.9
RIAI99PA,HATMN,MIN,2016,1,0,-30.9
RIAI99PA,HATMN,MIN,2016,2,0,-7.6
RIAI99PA,HATMN,MIN,2016,3,0,-13
RIAI99PA,HATMN,MIN,2016,4,0,-5.5
RIAI99PA,HATMN,MIN,2016,5,0,1.3
RIAI99PA,HATMN,MIN,2016,6,0,0.3
RIAI99PA,HATMN,MIN,2016,7,0,8.2
RIAI99PA,HATMN,MIN,2016,8,0,5.6
RIAI99PA,HATMN,MIN,2016,9,0, 
RIAI99PA,HATMN,MIN,2016,10,0,-4.6
RIAI99PA,HATMN,MIN,2016,11,0,-14.3
RIAI99PA,HATMN,MIN,2016,12,0,-11.2
RIAI99PA,HATMN,MIN,2017,1,0,-20.3
RIAI99PA,HATMN,MIN,2017,2,0,-16.8
RIAI99PA,HATMN,MIN,2017,3,0,-5.2
RIAI99PA,HATMN,MIN,2017,4,0,-6.3
RIAI99PA,HATMN,MIN,2017,5,0,-5.7
RIAI99PA,HATMN,MIN,2017,6,0,4.6
RIAI99PA,HATMN,MIN,2017,7,0,4.2
RIAI99PA,HATMN,MIN,2017,8,0,5.3
RIAI99PA,HATMN,MIN,2017,9,0,1.1
RIAI99PA,HATMN,MIN,2017,10,0,-5.7
RIAI99PA,HATMN,MIN,2017,11,0,-4.5
RIAI99PA,HATMN,MIN,2017,12,0, 
RIAI99PA,HATMN,MIN,2018,1,0,-14.8
RIAI99PA,HATMN,MIN,2018,2,0,-23.6
RIAI99PA,HATMN,MIN,2018,3,0,-19.5
RIAI99PA,HATMN,MIN,2018,4,0,-2.9
RIAI99PA,HATMN,MIN,2018,5,0,0.3
RIAI99PA,HATMN,MIN,2018,6,0,2.5
RIAI99PA,HATMN,MIN,2018,7,0,9.2
RIAI99PA,HATMN,MIN,2018,8,0,7.4
RIAI99PA,HATMN,MIN,2018,9,0,3.5
RIAI99PA,HATMN,MIN,2018,10,0, 
RIAI99PA,HATMN,MIN,2018,11,0, 
RIAI99PA,HATMN,MIN,2018,12,0, 
RIAI99PA,HATMN,MIN,2019,1,0, 
RIAI99PA,HATMN,MIN,2019,2,0,-11.2
RIAI99PA,HATMN,MIN,2019,3,0, 
RIAI99PA,HATMN,MIN,2019,4,0,-5.2
RIAI99PA,HATMN,MIN,2019,5,0,-3
RIAI99PA,HATMN,MIN,2019,6,0, 
RIAI99PA,HATMN,MIN,2019,7,0,5.8
RIAI99PA,HATMN,MIN,2019,8,0, 
RIAI99PA,HATMN,MIN,2019,9,0,-2.8
RIAI99PA,HATMN,MIN,2019,10,0, 
RIAI99PA,HATMN,MIN,2019,11,0,-7
RIAI99PA,HATMN,MIN,2019,12,0, 
RIAI99PA,HATMN,MIN,2020,1,0,-2.8
RIAI99PA,HATMN,MIN,2020,2,0,-8
RIAI99PA,HATMN,MIN,2020,3,0,-8.7
RIAI99PA,HATMN,MIN,2020,4,0,-2.2
RIAI99PA,HATMN,MIN,2020,5,0, 
RIAI99PA,HATMN,MIN,2020,6,0,4.4
RIAI99PA,HATMN,MIN,2020,7,0,6.4
RIAI99PA,HATMN,MIN,2020,8,0,4.5
RIAI99PA,HATMN,MIN,2020,9,0,2.5
RIAI99PA,HATMN,MIN,2020,10,0,-0.5
RIAI99PA,HATMN,MIN,2020,11,0, 
RIAI99PA,HATMN,MIN,2020,12,0,-6.6
RIAI99PA,HATMN,MIN,2021,1,0,-25.6
RIAI99PA,HATMN,MIN,2021,2,0,-24.9
RIAI99PA,HATMN,MIN,2021,3,0,-14.4
RIAI99PA,HATMN,MIN,2021,4,0,-4.3
RIAI99PA,HATMN,MIN,2021,5,0,-1.2
RIAI99PA,HATMN,MIN,2021,6,0, 
RIAI99PA,HATMN,MIN,2021,7,0,8.3
RIAI99PA,HATMN,MIN,2021,8,0,8.4
RIAI99PA,HATMN,MIN,2021,9,0,-1
RIAI99PA,HATMN,MIN,2021,10,0, 
RIAI99PA,HATMN,MIN,2021,11,0,-6
RIAI99PA,HATMN,MIN,2021,12,0,-24.5
RIAI99PA,HATMN,MIN,2022,1,0,-20.3
RIAI99PA,HATMN,MIN,2022,2,0,-12.4
RIAI99PA,HATMN,MIN,2022,3,0,-11.4
RIAI99PA,HATMN,MIN,2022,4,0,-7.8
RIAI99PA,HATMN,MIN,2022,5,0,-3.2
RIAI99PA,HATMN,MIN,2022,6,0,5.9
RIAI99PA,HATMN,MIN,2022,7,0,5.8
RIAI99PA,HATMN,MIN,2022,8,0,7.9
RIAI99PA,HATMN,MIN,2022,9,0,0.4
RIAI99PA,HATMN,MIN,2022,10,0,0.1
RIAI99PA,HATMN,MIN,2022,11,0,-6.7
RIAI99PA,HATMN,MIN,2022,12,0,-20.2
RIAI99PA,HATMN,MIN,2023,1,0,-13.5
RIAI99PA,HATMN,MIN,2023,2,0,-16.6
RIAI99PA,HATMN,MIN,2023,3,0,-19
RIAI99PA,HATMN,MIN,2023,4,0,-1.7
RIAI99PA,HATMN,MIN,2023,5,0,-5.6
RIAI99PA,HATMN,MIN,2023,6,0,-2
RIAI99PA,HATMN,MIN,2023,7,0,6.3
RIAI99PA,HATMN,MIN,2023,8,0,8.1
RIAI99PA,HATMN,MIN,2023,9,0,4.8
RIAI99PA,HATMN,MIN,2023,10,0,-2.2
RIAI99PA,HATMN,MIN,2023,11,0,-11.3
RIAI99PA,HATMN,MIN,2023,12,0,-14.1
RIAI99PA,HATMX,MAX,2002,1,0, 
RIAI99PA,HATMX,MAX,2002,2,0, 
RIAI99PA,HATMX,MAX,2002,3,0, 
RIAI99PA,HATMX,MAX,2002,4,0, 
RIAI99PA,HATMX,MAX,2002,5,0, 
RIAI99PA,HATMX,MAX,2002,6,0, 
RIAI99PA,HATMX,MAX,2002,7,0, 
RIAI99PA,HATMX,MAX,2002,8,0, 
RIAI99PA,HATMX,MAX,2002,9,0, 
RIAI99PA,HATMX,MAX,2002,10,0, 
RIAI99PA,HATMX,MAX,2002,11,0, 
RIAI99PA,HATMX,MAX,2002,12,0, 
RIAI99PA,HATMX,MAX,2003,1,0, 
RIAI99PA,HATMX,MAX,2003,2,0, 
RIAI99PA,HATMX,MAX,2003,3,0, 
RIAI99PA,HATMX,MAX,2003,4,0, 
RIAI99PA,HATMX,MAX,2003,5,0, 
RIAI99PA,HATMX,MAX,2003,6,0, 
RIAI99PA,HATMX,MAX,2003,7,0, 
RIAI99PA,HATMX,MAX,2003,8,0, 
RIAI99PA,HATMX,MAX,2003,9,0, 
RIAI99PA,HATMX,MAX,2003,10,0, 
RIAI99PA,HATMX,MAX,2003,11,0, 
RIAI99PA,HATMX,MAX,2003,12,0, 
RIAI99PA,HATMX,MAX,2004,1,0, 
RIAI99PA,HATMX,MAX,2004,2,0, 
RIAI99PA,HATMX,MAX,2004,3,0,7.2
RIAI99PA,HATMX,MAX,2004,4,0,19.8
RIAI99PA,HATMX,MAX,2004,5,0, 
RIAI99PA,HATMX,MAX,2004,6,0,22.2
RIAI99PA,HATMX,MAX,2004,7,0,26
RIAI99PA,HATMX,MAX,2004,8,0,28
RIAI99PA,HATMX,MAX,2004,9,0,19.2
RIAI99PA,HATMX,MAX,2004,10,0,16.8
RIAI99PA,HATMX,MAX,2004,11,0, 
RIAI99PA,HATMX,MAX,2004,12,0,6.9
RIAI99PA,HATMX,MAX,2005,1,0, 
RIAI99PA,HATMX,MAX,2005,2,0,1.4
RIAI99PA,HATMX,MAX,2005,3,0,4.7
RIAI99PA,HATMX,MAX,2005,4,0, 
RIAI99PA,HATMX,MAX,2005,5,0,26.3
RIAI99PA,HATMX,MAX,2005,6,0,22.4
RIAI99PA,HATMX,MAX,2005,7,0,29.2
RIAI99PA,HATMX,MAX,2005,8,0,26.6
RIAI99PA,HATMX,MAX,2005,9,0,23.6
RIAI99PA,HATMX,MAX,2005,10,0,17.8
RIAI99PA,HATMX,MAX,2005,11,0,11.2
RIAI99PA,HATMX,MAX,2005,12,0, 
RIAI99PA,HATMX,MAX,2006,1,0,3.2
RIAI99PA,HATMX,MAX,2006,2,0,1.4
RIAI99PA,HATMX,MAX,2006,3,0,7.8
RIAI99PA,HATMX,MAX,2006,4,0,19.3
RIAI99PA,HATMX,MAX,2006,5,0,23.1
RIAI99PA,HATMX,MAX,2006,6,0, 
RIAI99PA,HATMX,MAX,2006,7,0,32.2
RIAI99PA,HATMX,MAX,2006,8,0,28.5
RIAI99PA,HATMX,MAX,2006,9,0,24.4
RIAI99PA,HATMX,MAX,2006,10,0,20
RIAI99PA,HATMX,MAX,2006,11,0,10
RIAI99PA,HATMX,MAX,2006,12,0,10.1
RIAI99PA,HATMX,MAX,2007,1,0,8.1
RIAI99PA,HATMX,MAX,2007,2,0,2.4
RIAI99PA,HATMX,MAX,2007,3,0,18.3
RIAI99PA,HATMX,MAX,2007,4,0,15.8
RIAI99PA,HATMX,MAX,2007,5,0, 
RIAI99PA,HATMX,MAX,2007,6,0,24.4
RIAI99PA,HATMX,MAX,2007,7,0,27.1
RIAI99PA,HATMX,MAX,2007,8,0, 
RIAI99PA,HATMX,MAX,2007,9,0, 
RIAI99PA,HATMX,MAX,2007,10,0,15.2
RIAI99PA,HATMX,MAX,2007,11,0,10.1
RIAI99PA,HATMX,MAX,2007,12,0,7.3
RIAI99PA,HATMX,MAX,2008,1,0,5
RIAI99PA,HATMX,MAX,2008,2,0, 
RIAI99PA,HATMX,MAX,2008,3,0,15
RIAI99PA,HATMX,MAX,2008,4,0, 
RIAI99PA,HATMX,MAX,2008,5,0,19.9
RIAI99PA,HATMX,MAX,2008,6,0,23.4
RIAI99PA,HATMX,MAX,2008,7,0, 
RIAI99PA,HATMX,MAX,2008,8,0, 
RIAI99PA,HATMX,MAX,2008,9,0,23.8
RIAI99PA,HATMX,MAX,2008,10,0,14.3
RIAI99PA,HATMX,MAX,2008,11,0,11
RIAI99PA,HATMX,MAX,2008,12,0,7.1
RIAI99PA,HATMX,MAX,2009,1,0, 
RIAI99PA,HATMX,MAX,2009,2,0,4.5
RIAI99PA,HATMX,MAX,2009,3,0,6.2
RIAI99PA,HATMX,MAX,2009,4,0,22.7
RIAI99PA,HATMX,MAX,2009,5,0,26.7
RIAI99PA,HATMX,MAX,2009,6,0,24.3
RIAI99PA,HATMX,MAX,2009,7,0, 
RIAI99PA,HATMX,MAX,2009,8,0,24.1
RIAI99PA,HATMX,MAX,2009,9,0, 
RIAI99PA,HATMX,MAX,2009,10,0,12.6
RIAI99PA,HATMX,MAX,2009,11,0,8.8
RIAI99PA,HATMX,MAX,2009,12,0,6.7
RIAI99PA,HATMX,MAX,2010,1,0,0.1
RIAI99PA,HATMX,MAX,2010,2,0,2.9
RIAI99PA,HATMX,MAX,2010,3,0,16.9
RIAI99PA,HATMX,MAX,2010,4,0,18.3
RIAI99PA,HATMX,MAX,2010,5,0,26.5
RIAI99PA,HATMX,MAX,2010,6,0, 
RIAI99PA,HATMX,MAX,2010,7,0, 
RIAI99PA,HATMX,MAX,2010,8,0, 
RIAI99PA,HATMX,MAX,2010,9,0, 
RIAI99PA,HATMX,MAX,2010,10,0,13.9
